Date,Symbol,Prev Close,Open,High,Prev Low,Prev high,Previous VWAP,Previous Volume,Previous Percentage,PreviousValue change,Previous Nifty 50,Previous Nifty 100,Previous Sensex,Buy Don?t buy
6/28/2011,RELIANCE,871.4,878.9,881.8,861.85,871.55,874.41,3280025,0.02,0.15,5548.85,5469.5,18493.59,YES
6/29/2011,RELIANCE,871.55,875.7,878.9,862,871.1,868.86,2336039,-0.05,-0.45,5566.5,5482.45,18552.19,YES
6/30/2011,RELIANCE,871.1,888.7,888,872.1,885.25,879.81,2841435,1.6,14.15,5614.5,5523.7,18741.1,YES
7/1/2011,RELIANCE,885.25,907,902,887,898.5,895.72,4970476,1.47,13.25,5705.75,5601.4,18974.96,YES
7/4/2011,RELIANCE,898.5,874.4,907,856.7,861.95,870.02,6555284,-4.24,-36.55,5679.55,5584.55,18896.24,NO
7/5/2011,RELIANCE,861.95,869.3,879.4,865,868.4,870.02,3771511,0.74,6.45,5659.85,5578.65,18837.88,YES
7/6/2011,RELIANCE,868.4,848.85,869.3,844,845.95,853.31,7727430,-2.65,-22.45,5622.7,5546.6,18730.29,NO
7/7/2011,RELIANCE,845.95,858,858.5,840.7,852.9,850.04,6143838,0.81,6.95,5633.35,5556.85,18776.62,YES
7/8/2011,RELIANCE,852.9,873,874.9,855.25,870.7,864.21,4603204,2.04,17.8,5734.65,5650.35,19084.06,YES
7/11/2011,RELIANCE,870.7,854,874,852,854.85,858.61,4785969,-1.85,-15.85,5648.05,5564.05,18823.19,NO
7/12/2011,RELIANCE,854.85,847.5,859.95,847,853.3,854.56,2194126,-0.18,-1.55,5556.9,5482.9,18534.11,NO
7/13/2011,RELIANCE,853.3,853.05,857.4,845.7,847.75,849.72,2986757,-0.65,-5.55,5542.05,5460.9,18468.82,NO
7/14/2011,RELIANCE,847.75,863.3,869.7,851.1,865.45,860.62,3892719,2.05,17.7,5569,5493.1,18563.69,YES
7/15/2011,RELIANCE,865.45,867.7,877.9,859.35,867.55,867.88,3043021,0.24,2.1,5602.95,5529.8,18694.19,YES
7/18/2011,RELIANCE,867.55,871.9,876,865,873.2,871.34,2332976,0.65,5.65,5581.75,5512.4,18592.19,YES
7/19/2011,RELIANCE,873.2,867.5,873.9,864.2,867.6,869,1504709,-0.65,-5.6,5569.85,5504.6,18521.38,NO
7/20/2011,RELIANCE,867.6,886,881.4,866,879.45,874.18,2245330,1.35,11.85,5642.05,5564,18756.31,YES
7/21/2011,RELIANCE,879.45,875.95,886.8,868.8,876.2,877.9,2555594,-0.37,-3.25,5554.6,5478.9,18514.65,NO
7/22/2011,RELIANCE,876.2,866,875.95,857.55,860.85,866.59,1802647,-1.78,-15.35,5576.95,5487.95,18565.04,NO
7/25/2011,RELIANCE,860.85,892,877,862.5,873.35,871.82,3498193,1.43,12.5,5633.8,5545.95,18753.35,YES
7/26/2011,RELIANCE,873.35,888.25,892,879.15,882.85,884.58,5007164,1.08,9.5,5688.45,5595.3,18898.19,YES
7/27/2011,RELIANCE,882.85,875,890.15,869.4,871.5,876.83,4677273,-1.3,-11.35,5588.55,5504.35,18571.15,NO
7/28/2011,RELIANCE,871.5,855,875,859.15,860.85,865.07,3126064,-1.24,-10.65,5492.4,5425.9,18300.55,NO
7/29/2011,RELIANCE,860.85,840,855,833.4,837.35,839.63,7154511,-2.81,-23.5,5479,5405.8,18194.15,NO
8/1/2011,RELIANCE,837.35,838,847.25,823.15,827.95,835.82,4890181,-1.14,-9.4,5527.5,5428.55,18352.23,YES
8/2/2011,RELIANCE,827.95,827.55,838,821.35,830.85,828.7,3255486,0.35,2.9,5493.2,5398.2,18283.55,NO
8/3/2011,RELIANCE,830.85,826.75,838.9,818.5,837.3,829.55,3787775,0.77,6.45,5402,5316.25,17970.19,NO
8/4/2011,RELIANCE,837.3,828,836.2,823.1,825.05,828.4,3219680,-1.48,-12.25,5412.4,5320.2,17983.86,NO
8/5/2011,RELIANCE,825.05,799.5,831.65,810.05,812.35,820.84,3140142,-1.56,-12.7,5204.35,5146.2,17350.37,NO
8/8/2011,RELIANCE,812.35,776.7,799.5,779,792,789.79,5994097,-2.57,-20.35,5083.85,5032.4,16907.57,NO
8/9/2011,RELIANCE,792,753,796.4,767,780.65,781.35,5084300,-1.45,-11.35,4947.9,4910.95,16517.87,NO
8/9/2011,RELIANCE,780.65,753,779,753,765.3,765.19,7463019,-2.01,-15.35,5196.55,5107.1,17244.71,NO
8/10/2011,RELIANCE,780.65,785.35,779,753,765.3,765.19,7463019,-2.01,-15.35,5128,5065.85,17056.61,YES
8/11/2011,RELIANCE,765.3,768.35,790,765,772.75,776.76,4056543,0.96,7.45,5194.4,5116.9,17246.88,YES
8/12/2011,RELIANCE,772.75,783,784.95,765,772.2,776.23,2489305,-0.07,-0.55,5125.75,5053.35,17015.99,YES
8/16/2011,RELIANCE,772.2,760,783,758,760.9,767.38,3936767,-1.49,-11.3,5030.3,4965.5,16782.24,NO
8/17/2011,RELIANCE,760.9,760.5,772.3,754.7,759.15,765.21,2580004,-0.23,-1.75,5077.95,4998.9,16910.27,NO
8/18/2011,RELIANCE,759.15,757.7,774.4,751,755,759.89,3096352,-0.55,-4.15,4859.3,4800.05,16237.78,NO
8/19/2011,RELIANCE,755,731.05,760,737,741.2,747.18,3914915,-1.86,-13.8,4843.7,4782.15,16155.99,NO
8/22/2011,RELIANCE,741.2,731,739,721.3,732.55,729.26,4663092,-1.18,-8.65,4925.15,4856.95,16446.85,NO
8/23/2011,RELIANCE,732.55,760.35,759.85,725.6,757,741.8,3552807,3.23,24.45,4934.35,4868.9,16490.78,YES
8/24/2011,RELIANCE,757,764,772,747.5,765.25,760.12,4008613,1.08,8.25,4914.65,4846.3,16338.14,YES
8/25/2011,RELIANCE,765.25,761.6,769.5,756,761.3,762.17,2968791,-0.52,-3.95,4839.25,4774.65,16155.55,NO
8/26/2011,RELIANCE,761.3,751,769,750.25,753.5,757.21,4849218,-1.04,-7.8,4806.2,4730,16080.74,NO
8/29/2011,RELIANCE,753.5,731.1,756.1,712,719.4,735.29,4457788,-4.74,-34.1,4973.25,4889.7,16585.1,NO
8/30/2011,RELIANCE,719.4,765,759.9,728.35,755.05,747.58,4186930,4.72,35.65,5109.8,5011.65,16963.67,YES
9/2/2011,RELIANCE,755.05,796.7,796.3,764,782.6,779.16,7821448,3.52,27.55,4998.9,4928.8,16678.34,YES
9/5/2011,RELIANCE,782.6,794.5,813.7,789.45,805.45,802.88,7791545,2.84,22.85,4993.35,4927.8,16663.73,YES
9/6/2011,RELIANCE,805.45,783.2,799,782.95,788.85,789.07,4567377,-2.1,-16.6,5080.15,4999.75,16922.31,NO
